Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV031,CH007-CH008,,,5/31/2018 17:13,5/31/2018 17:20,251.075,307.5,31.029,48.5,89.5
EV031,CH007-CH008,,,5/31/2018 16:11,5/31/2018 16:19,177.003,293.84,27.998,47,84.5
EV031,CH007-CH008,,,5/31/2018 15:18,5/31/2018 15:23,279.022,332.84,22.998,51,82
EV031,CH007-CH008,,,5/31/2018 14:10,5/31/2018 14:15,268.487,319.18,24.034,54.5,86
EV031,CH007-CH008,,,5/31/2018 13:09,5/31/2018 13:10,162.588,318.42,0.923,55.5,56.5
EV031,CH007-CH008,,,5/31/2018 12:06,5/31/2018 12:13,218.993,311.3,25.515,60,95
EV031,CH007-CH008,,,5/31/2018 11:10,5/31/2018 11:11,248.874,297,4.52,87,92.5
EV031,CH007-CH008,,,5/31/2018 10:06,5/31/2018 10:10,249.954,344.5,18.287,67.5,94
EV031,CH007-CH008,,,5/31/2018 9:03,5/31/2018 9:11,254.652,316.32,31.592,55,96
EV031,CH007-CH008,,,5/31/2018 8:08,5/31/2018 8:16,218.777,286.74,8.748,49.5,93.5
EV031,CH007-CH008,,,5/31/2018 7:07,5/31/2018 7:14,243.527,301.46,27.617,50.5,86.5
EV031,CH007-CH008,,,5/31/2018 6:15,5/31/2018 6:15,102.573,179.84,0.304,,85.5
EV031,CH007-CH008,,,5/30/2018 17:50,5/30/2018 17:55,270.596,335.2,21.167,71.5,100
EV031,CH007-CH008,,,5/30/2018 16:46,5/30/2018 16:50,155.641,349.8,18.894,65.5,92.5
EV031,CH007-CH008,,,5/30/2018 15:46,5/30/2018 15:51,280.511,356.88,22.786,66.5,100
EV031,CH007-CH008,,,5/30/2018 14:49,5/30/2018 14:56,295.961,336.98,26.613,62,100
EV031,CH007-CH008,,,5/30/2018 13:46,5/30/2018 13:56,270.137,362.46,36.214,51.5,100
EV031,CH007-CH008,,,5/30/2018 12:46,5/30/2018 12:51,264.606,331.94,22.73,56.5,87.5
EV031,CH007-CH008,,,5/30/2018 11:43,5/30/2018 11:45,275.958,315,9.778,67.5,83
EV031,CH007-CH008,,,5/30/2018 10:43,5/30/2018 10:49,262.751,337.28,21.303,71.5,100
EV031,CH007-CH008,,,5/30/2018 9:48,5/30/2018 9:54,272.992,342.22,21.216,72,100
EV031,CH007-CH008,,,5/30/2018 8:43,5/30/2018 8:50,258.168,317.12,23.207,66.5,100
EV031,CH007-CH008,,,5/30/2018 7:45,5/30/2018 7:50,291.036,323.34,24.001,63.5,97
EV031,CH007-CH008,,,5/30/2018 6:46,5/30/2018 6:51,248.867,308.68,22.122,64.5,96
EV031,CH007-CH008,,,5/30/2018 5:51,5/30/2018 5:57,231.326,321.16,22.042,68,99.5
EV031,CH007-CH008,,,5/29/2018 14:44,5/29/2018 14:47,-13.461,-12.96,12.74,67,85
EV031,CH007-CH008,,,5/24/2018 6:51,5/24/2018 6:53,143.063,341.98,7.45,59,68.5
EV031,CH007-CH008,,,5/24/2018 6:00,5/24/2018 6:00,154.425,192.82,2.29,,89.5
EV031,CH007-CH008,,,5/22/2018 18:34,5/22/2018 18:40,166.922,202.14,16.214,75,95.5
EV031,CH007-CH008,,,5/22/2018 17:37,5/22/2018 17:45,221.827,262.7,10.853,62,100
EV031,CH007-CH008,,,5/22/2018 16:28,5/22/2018 16:37,301.749,339.24,30.912,57,100
EV031,CH007-CH008,,,5/22/2018 15:30,5/22/2018 15:31,215.487,262.62,5.859,87,94.5
EV031,CH007-CH008,,,5/22/2018 14:20,5/22/2018 14:29,225.509,243.32,29.069,59,99
EV031,CH007-CH008,,,5/22/2018 13:22,5/22/2018 13:29,334.374,366.06,29.805,56.5,97
EV031,CH007-CH008,,,5/22/2018 11:20,5/22/2018 11:28,268.898,365.12,24.102,65.5,100
EV031,CH007-CH008,,,5/22/2018 10:25,5/22/2018 10:28,232.19,295.98,8.169,88.5,100
EV031,CH007-CH008,,,5/22/2018 9:20,5/22/2018 9:27,200.941,246.92,20.982,72,100
EV031,CH007-CH008,,,5/22/2018 8:20,5/22/2018 8:27,221.526,276.94,21.667,71,100
EV031,CH007-CH008,,,5/22/2018 7:20,5/22/2018 7:25,284.988,339.52,20.403,65,94
EV031,CH007-CH008,,,5/22/2018 6:31,5/22/2018 6:40,219.025,346.52,33.366,53,96.5
EV031,CH007-CH008,,,5/22/2018 6:22,5/22/2018 6:22,-1.415,-1.14,0.004,54,54
EV031,CH007-CH008,,,5/21/2018 18:35,5/21/2018 18:40,245.687,331.66,21.25,59.5,88.5
