Vehicle ID,Charger ID,Date,Number of Charging Sessions,Connection Time,Charging Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV096,CH018-CH024,07/22/19,,,7.354058889,28.95465392,,212.93423,,,59.5
EV096,CH018-CH024,07/23/19,,,8.457608889,26.5262881,,224.34897,,,63
EV096,CH018-CH024,07/24/19,,,8.253010833,23.76248305,,196.11203,,,55
EV096,CH018-CH024,07/25/19,,,6.207654722,36.05639489,,223.82565,,,64
EV096,CH018-CH024,07/26/19,,,5.626540833,36.53890763,,205.5876558,,,64
EV096,CH018-CH024,07/27/19,,,9.421082222,31.18872941,,293.8315842,,,85.5
EV096,CH018-CH024,07/28/19,,,3.589589444,33.02440901,,118.54407,,,33.5
EV096,CH018-CH024,07/29/19,,,3.779947222,32.22272139,,121.8001862,,,34
EV096,CH018-CH024,07/30/19,,,10.63639333,38.44580216,,408.9246738,,,121.5
EV096,CH018-CH024,07/31/19,,,9.001849444,22.90016396,,206.1438282,,,41.5
EV096,CH018-CH024,08/01/19,,,8.150055,26.43022186,,215.4077618,,,60
EV096,CH018-CH024,08/02/19,,,0.000505833,0,,,,,
EV096,CH018-CH024,08/06/19,,,5.915308889,38.88201257,,229.9991146,,,72.5
EV096,CH018-CH024,08/07/19,,,10.78271083,28.34354063,,305.6202026,,,92.5
EV096,CH018-CH024,08/08/19,,,13.1978725,25.75833967,,339.9552828,,,96
EV096,CH018-CH024,08/09/19,,,4.909407222,29.5767742,,145.2044289,,,44
EV096,CH018-CH024,08/10/19,,,5.769898333,14.16172459,,81.71171111,,,21.5
EV096,CH018-CH024,08/12/19,,,5.628512778,29.65524582,,166.91493,,,47.5
EV096,CH018-CH024,08/13/19,,,5.383464444,29.98113943,,161.4023981,,,49
EV096,CH018-CH024,08/14/19,,,7.652061111,33.60298462,,257.1320919,,,73.5
EV096,CH018-CH024,08/15/19,,,6.396318056,36.73681921,,234.98038,,,68
EV096,CH018-CH024,08/16/19,,,4.594535,34.87408628,,160.23021,,,44.5
EV096,CH018-CH024,08/19/19,,,7.228995556,31.08631044,,224.7228,,,63.5
EV096,CH018-CH024,08/20/19,,,7.461044167,28.05131096,,209.29207,,,60
EV096,CH018-CH024,08/21/19,,,5.466704444,37.89181254,,207.14334,,,61
EV096,CH018-CH024,08/22/19,,,5.39379,38.47356312,,207.51832,,,60.5
EV096,CH018-CH024,08/23/19,,,0.2627325,41.82748613,,10.98944,,,4
EV096,CH018-CH024,08/24/19,,,5.838154167,31.60173485,,184.4958,,,52
EV096,CH018-CH024,08/26/19,,,8.717675556,26.03605038,,226.97384,,,66.5
EV096,CH018-CH024,08/27/19,,,5.354285833,36.7570328,,196.80766,,,58
EV096,CH018-CH024,08/28/19,,,7.512072222,23.34155141,,175.34342,,,49
EV096,CH018-CH024,08/29/19,,,4.874065278,33.48774058,,163.2214336,,,49.5
EV096,CH018-CH024,08/30/19,,,9.657116667,26.75121833,,258.3396364,,,72
EV096,CH018-CH024,08/31/19,,,1.856334444,40.76652256,,75.6763,,,23.5
EV096,CH018-CH024,09/05/19,,,4.412811111,2.596091179,,11.45606,,,1
EV096,CH018-CH024,09/06/19,,,6.5227575,30.35339732,,197.98785,,,56.5
EV096,CH018-CH024,09/07/19,,,1.66263,42.00121494,,69.83248,,,21.5
EV096,CH018-CH024,09/09/19,,,5.654556389,36.25621108,,205.01279,,,61
EV096,CH018-CH024,09/10/19,,,5.853899722,37.21733722,,217.86656,,,66
EV096,CH018-CH024,09/11/19,,,4.949726667,40.46006244,,200.26625,,,62
EV096,CH018-CH024,09/12/19,,,14.58090944,27.30831444,,398.18006,,,82.5
EV096,CH018-CH024,09/17/19,,,5.579059167,36.51842254,,203.73844,,,60.5
EV096,CH018-CH024,09/18/19,,,4.338073056,40.59702816,,176.112874,,,56.5
EV096,CH018-CH024,09/19/19,,,11.510705,23.51072601,,270.6250315,,,79
EV096,CH018-CH024,09/20/19,,,12.80985556,25.99351438,,332.9731646,,,96.5
EV096,CH018-CH024,09/21/19,,,6.383993333,19.11543976,,122.03284,,,33.5
EV096,CH018-CH024,09/22/19,,,4.283891944,27.71851427,,118.74312,,,33.5
EV096,CH018-CH024,09/23/19,,,5.526739167,29.72964709,,164.308005,,,50
EV096,CH018-CH024,09/24/19,,,7.780041944,34.6994331,,269.963045,,,79
EV096,CH018-CH024,09/25/19,,,6.899179167,27.50757959,,189.77972,,,54.5
EV096,CH018-CH024,09/26/19,,,7.578305556,26.62600479,,201.78,,,61
EV096,CH018-CH024,09/27/19,,,9.372874722,22.9799156,,215.38787,,,64.5
EV096,CH018-CH024,09/28/19,,,3.155348056,39.80837543,,125.60928,,,37.5
EV096,CH018-CH024,09/29/19,,,5.844463611,38.88308921,,227.2508,,,68
EV096,CH018-CH024,09/30/19,,,6.031737222,26.68048767,,160.9296906,,,51.5
EV096,CH018-CH024,10/01/19,,,10.21703667,28.83473659,,294.605561,,,91.5
EV096,CH018-CH024,10/02/19,,,11.17579917,33.43274989,,373.6376984,,,110.5
EV096,CH018-CH024,10/03/19,,,7.266416111,28.98892202,,210.64557,,,62
EV096,CH018-CH024,10/11/19,,,3.578226111,4.53843315,,16.23954,,,3
EV096,CH018-CH024,10/14/19,,,8.439804444,32.34777438,,273.00889,,,85
EV096,CH018-CH024,10/15/19,,,7.409096111,32.07336447,,237.63464,,,69.5
EV096,CH018-CH024,10/16/19,,,6.640588889,31.39419914,,208.47597,,,107.5
EV096,CH018-CH024,10/17/19,,,8.614880556,29.3313051,,252.68569,,,75.5
EV096,CH018-CH024,10/18/19,,,7.067620833,28.72211665,,202.99703,,,59.5
EV096,CH018-CH024,10/19/19,,,3.314781389,40.41967004,,133.98237,,,40.5
EV096,CH018-CH024,10/20/19,,,5.860362222,33.56037339,,196.6759444,,,58.5
EV096,CH018-CH024,10/21/19,,,11.84064611,22.79211903,,269.8734156,,,85
EV096,CH018-CH024,10/22/19,,,6.740236944,38.19349114,,257.43318,,,80
EV096,CH018-CH024,10/23/19,,,7.401303889,40.7414779,,301.5400588,,,94.5
EV096,CH018-CH024,10/24/19,,,7.83605,28.29465626,,221.7183412,,,65.5
EV096,CH018-CH024,10/28/19,,,7.697257222,31.53034945,,242.69721,,,71.5
EV096,CH018-CH024,11/02/19,,,6.340598056,34.74714026,,220.31765,,,67.5
EV096,CH018-CH024,11/04/19,,,9.859855278,25.48390751,,251.26764,,,55.5
EV096,CH018-CH024,11/05/19,,,3.059583611,11.74099308,,35.92255,,,9
EV096,CH018-CH024,11/06/19,,,8.031215833,40.60530395,,326.10996,,,105
EV096,CH018-CH024,11/07/19,,,7.874914444,38.47718882,,303.00457,,,93
EV096,CH018-CH024,11/08/19,,,7.2865625,13.06313917,,95.18538,,,27
EV096,CH018-CH024,11/14/19,,,5.188639444,36.34554145,,188.58391,,,59
EV096,CH018-CH024,11/15/19,,,8.348486389,34.33309065,,286.62934,,,88
EV096,CH018-CH024,11/19/19,2,,6.4729075,41.15379217,,266.38469,,,82
EV096,CH018-CH024,11/20/19,2,,8.533878333,28.72565795,,245.14127,,,72
EV096,CH018-CH024,11/21/19,2,,8.991749167,29.73932269,,267.40853,,,78.5
EV096,CH018-CH024,11/22/19,2,,8.9009525,32.18421624,,286.47018,,,85.5
EV096,CH018-CH024,11/25/19,2,,7.874001389,36.18666367,,284.93384,,,89
EV096,CH018-CH024,11/26/19,2,,8.2141175,36.81634454,,302.41378,,,92.5
EV096,CH018-CH024,12/02/19,2,,7.9983025,40.34585464,,322.69835,,,101.5
EV096,CH018-CH024,12/03/19,2,,7.301158333,25.43125098,,185.67759,,,52
EV096,CH018-CH024,12/04/19,2,,1.978727222,41.54436704,,82.20497,,,27
EV096,CH018-CH024,12/05/19,2,,6.823238889,24.74356281,,168.83124,,,48
EV096,CH018-CH024,12/06/19,2,,8.702521667,27.45837461,,238.9571,,,69.5
EV096,CH018-CH024,12/11/19,2,,9.291120556,37.96552933,,352.74231,,,108
EV096,CH018-CH024,12/12/19,2,,5.902945,30.60312945,,180.64859,,,53.5
EV096,CH018-CH024,12/13/19,2,,9.116139722,39.70393089,,361.9465815,,,116.5
EV096,CH018-CH024,12/14/19,,,0.285779444,10.16902573,,2.906098525,,,
EV096,CH018-CH024,12/16/19,1,,2.003251111,2.480812302,,4.96969,,,
EV096,CH018-CH024,12/17/19,2,,7.5042525,40.84345464,,306.4995966,,,98.5
EV096,CH018-CH024,12/18/19,2,,10.87894778,29.89036348,,325.1757034,,,94.5
EV096,CH018-CH024,12/19/19,2,,7.390825833,36.45447289,,269.42866,,,85.5
EV096,CH018-CH024,12/20/19,2,,6.572375833,34.08096032,,223.99288,,,64.5
EV096,CH018-CH024,12/21/19,1,,1.612653611,1.705518148,,2.75041,,,
EV096,CH018-CH024,12/23/19,4,,6.23454,41.73979918,,260.2284476,,,83
EV096,CH018-CH024,12/24/19,,,1.169737222,19.89259806,,23.2691124,,,4.5
EV096,CH018-CH024,12/27/19,1,,0.027905833,31.14115926,,0.86902,,,
EV096,CH018-CH024,12/29/19,1,,1.8738075,3.407116259,,6.38428,,,
EV096,CH018-CH024,01/15/20,3,,8.078463056,39.8419152,,321.86144,,,101.5
EV096,CH018-CH024,01/16/20,2,,10.02847417,32.10185165,,321.93259,,,99
EV096,CH018-CH024,01/17/20,5,,10.09311611,35.92197787,,362.5646936,,,112.5
EV096,CH018-CH024,01/18/20,,,0.960497222,6.694403952,,6.4299564,,,
EV096,CH018-CH024,01/21/20,2,,7.744143889,29.17076633,,225.9026118,,,64.5
EV096,CH018-CH024,01/22/20,8,,8.254799705,26.36584578,,217.644776,,,62.5
EV096,CH018-CH024,01/23/20,2,,7.197809184,38.28314355,,275.5547622,,,98.5
EV096,CH018-CH024,01/24/20,2,,6.653241944,37.68847009,,250.75051,,,75.5
EV096,CH018-CH024,01/25/20,1,,6.086446944,37.88244145,,230.56947,,,72
EV096,CH018-CH024,01/29/20,1,,0.114454722,43.78910632,,5.01187,,,1.5
EV096,CH018-CH024,01/30/20,2,,7.677796944,38.80664495,,297.94954,,,92.5
EV096,CH018-CH024,01/31/20,2,,7.140892222,32.48286107,,231.95661,,,68.5
EV096,CH018-CH024,02/01/20,2,,4.004272222,37.14388577,,148.73423,,,43.5
EV096,CH018-CH024,02/02/20,1,,3.455193889,41.63935068,,143.87203,,,45
EV096,CH018-CH024,02/03/20,2,,7.776508056,40.89616544,,318.02936,,,100
EV096,CH018-CH024,02/04/20,2,,8.210887778,36.5418464,,300.041,,,94.5
EV096,CH018-CH024,02/05/20,6,,5.822516667,40.36803043,,235.04353,,,70
EV096,CH018-CH024,02/06/20,2,,7.939135833,36.05064153,,286.21094,,,88.5
EV096,CH018-CH024,02/07/20,3,,7.104499444,32.12768078,,228.2510903,,,68.5
EV096,CH018-CH024,02/08/20,1,,4.540846111,34.80007599,,158.0217897,,,50
EV096,CH018-CH024,02/09/20,1,,2.084006111,4.171547268,,8.69353,,,
EV096,CH018-CH024,02/10/20,2,,9.112138889,36.7621646,,334.9819497,,,103
EV096,CH018-CH024,02/11/20,2,,8.448168056,28.96549509,,244.7053703,,,73
EV096,CH018-CH024,02/12/20,2,,8.559495,39.66684995,,339.5282038,,,106
EV096,CH018-CH024,02/13/20,2,,12.62078806,17.80064882,,224.658216,,,62
EV096,CH018-CH024,02/14/20,2,,6.663599444,31.09242714,,207.1874802,,,62.5
EV096,CH018-CH024,02/17/20,3,,8.881375556,38.09458545,,338.33232,,,111
EV096,CH018-CH024,02/18/20,3,,7.064600556,39.65887636,,280.17412,,,88.5
EV096,CH018-CH024,02/19/20,1,,4.493158333,30.43588938,,136.75327,,,40
EV096,CH018-CH024,02/20/20,3,,10.06691222,36.18751438,,364.2965308,,,114.5
EV096,CH018-CH024,02/21/20,2,,9.587018889,29.49457933,,282.7650892,,,87
EV096,CH018-CH024,02/22/20,1,,5.482775278,28.05314867,,153.80911,,,46.5
EV096,CH018-CH024,02/24/20,3,,6.504391389,37.56287643,,244.32365,,,74.5
EV096,CH018-CH024,02/25/20,2,,6.630804722,36.42785455,,241.54599,,,74
EV096,CH018-CH024,02/26/20,2,,6.475090833,40.4316027,,261.7983,,,82.5
EV096,CH018-CH024,02/27/20,2,,8.540578611,34.36039639,,293.4576665,,,92
EV096,CH018-CH024,02/28/20,2,,9.174340556,34.64714347,,317.8646935,,,101
EV096,CH018-CH024,03/03/20,2,,0.553274167,22.81400571,,12.6224,,,2.5
EV096,CH018-CH024,03/04/20,7,,6.706300833,30.31803151,,203.32184,,,60.5
EV096,CH018-CH024,03/05/20,4,,6.0099525,38.95786391,,234.1349116,,,70.5
EV096,CH018-CH024,03/06/20,,,2.794421944,3.391309039,,9.4767484,,,
EV096,CH018-CH024,03/11/20,1,,4.854864444,22.56710383,,109.56023,,,31
EV096,CH018-CH024,04/10/20,2,,6.495604722,33.17264323,,215.476378,,,62.5
EV096,CH018-CH024,04/11/20,,,0.024095,1.374227018,,0.033112,,,
EV096,CH018-CH024,04/12/20,1,,6.0359025,38.3100501,,231.2357272,,,72
EV096,CH018-CH024,04/13/20,1,,7.481767222,26.99488059,,201.9694128,,,61.5
EV096,CH018-CH024,06/15/20,1,,2.907585,7.456146596,,21.67938,,,4.5
EV096,CH018-CH024,06/16/20,2,,6.561106111,28.04688369,,184.01858,,,52
EV096,CH018-CH024,06/18/20,2,,2.817033611,16.5633345,,46.65947,,,12.5
EV096,CH018-CH024,06/22/20,2,,6.276108611,25.01091197,,156.9712,,,44
EV096,CH018-CH024,06/23/20,2,,6.594150278,27.44385287,,180.96889,,,51
EV096,CH018-CH024,06/24/20,2,,6.346223333,22.23636367,,141.11693,,,38
EV096,CH018-CH024,06/25/20,2,,7.078994722,30.9817677,,219.31977,,,66.5
EV096,CH018-CH024,06/26/20,2,,7.267160556,35.26630354,,256.28589,,,77
EV096,CH018-CH024,06/27/20,2,,5.807557222,37.66077055,,218.71708,,,64
EV096,CH018-CH024,06/28/20,1,,4.34911,30.8420016,,134.1352576,,,38.5
