Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge E/Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV030,CH007-CH008,,,7/14/2018 17:10,7/14/2018 17:20,274.76,337.28,34.438,54,100
EV030,CH007-CH008,,,7/14/2018 16:13,7/14/2018 16:19,281.821,334.76,24.752,56.5,93
EV030,CH007-CH008,,,7/14/2018 15:07,7/14/2018 15:16,328.171,349.52,34.986,53,100
EV030,CH007-CH008,,,7/14/2018 14:13,7/14/2018 14:19,311.62,358.38,25.872,55,89
EV030,CH007-CH008,,,7/14/2018 13:09,7/14/2018 13:16,284,362.9,28.012,59.5,98.5
EV030,CH007-CH008,,,7/14/2018 12:05,7/14/2018 12:15,288.057,350.1,35.49,52.5,100
EV030,CH007-CH008,,,7/14/2018 11:02,7/14/2018 11:07,332.491,360.44,25.707,57,92.5
EV030,CH007-CH008,,,7/14/2018 10:03,7/14/2018 10:10,260.991,346.54,29.147,56.5,96
EV030,CH007-CH008,,,7/14/2018 8:57,7/14/2018 9:06,195.265,328.82,36.542,51,100
EV030,CH007-CH008,,,7/12/2018 19:05,7/12/2018 21:06,17.814,43.06,23.103,62,100
EV030,CH007-CH008,,,7/11/2018 17:54,7/11/2018 18:00,305.959,377.62,24.172,64.5,100
EV030,CH007-CH008,,,7/11/2018 16:48,7/11/2018 16:57,312.175,375.1,32.601,55.5,100
EV030,CH007-CH008,,,7/11/2018 15:51,7/11/2018 15:57,317.371,364.46,23.247,65.5,100
EV030,CH007-CH008,,,7/11/2018 14:45,7/11/2018 14:54,252.244,368.92,33.178,54.5,98.5
EV030,CH007-CH008,,,7/11/2018 13:45,7/11/2018 13:52,277.29,342.6,32.007,54.5,96.5
EV030,CH007-CH008,,,7/11/2018 12:44,7/11/2018 12:52,280.607,376.72,27.788,60.5,100
EV030,CH007-CH008,,,7/11/2018 11:49,7/11/2018 11:56,333.319,369.32,26.264,62.5,100
EV030,CH007-CH008,,,7/11/2018 10:51,7/11/2018 10:58,290.569,356.68,27.516,61.5,100
EV030,CH007-CH008,,,7/11/2018 9:47,7/11/2018 9:53,248.004,378.42,25.098,64,100
EV030,CH007-CH008,,,7/11/2018 8:47,7/11/2018 8:54,269.181,373.52,27.795,59,97
EV030,CH007-CH008,,,7/11/2018 7:47,7/11/2018 7:53,235.182,366.62,21.474,71.5,100
EV030,CH007-CH008,,,7/11/2018 6:48,7/11/2018 6:55,284.54,343.02,25.315,64,99.5
EV030,CH007-CH008,,,7/11/2018 5:50,7/11/2018 5:55,206.119,358.08,15.583,79,99.5
EV030,CH007-CH008,,,7/9/2018 18:19,7/9/2018 18:28,333.38,363.56,36.513,49,99
EV030,CH007-CH008,,,7/9/2018 17:13,7/9/2018 17:20,324.999,357.86,38.409,40,92
EV030,CH007-CH008,,,7/9/2018 16:26,7/9/2018 16:31,235.349,277.06,22.088,47.5,78.5
EV030,CH007-CH008,,,7/9/2018 15:22,7/9/2018 15:28,253.553,306.8,28.491,52.5,90.5
EV030,CH007-CH008,,,7/9/2018 14:04,7/9/2018 14:12,259.615,353.46,30.133,57,100
EV030,CH007-CH008,,,7/9/2018 13:04,7/9/2018 13:11,272.361,363.66,28.517,59.5,100
EV030,CH007-CH008,,,7/9/2018 12:05,7/9/2018 12:13,281.429,314.06,28.843,57,97
EV030,CH007-CH008,,,7/9/2018 11:05,7/9/2018 11:13,314.896,354.12,32.813,54.5,97.5
EV030,CH007-CH008,,,7/9/2018 10:05,7/9/2018 10:11,295.244,367.24,22.779,66.5,100
EV030,CH007-CH008,,,7/9/2018 9:03,7/9/2018 9:11,333.778,368.42,28.907,59.5,100
EV030,CH007-CH008,,,7/9/2018 8:11,7/9/2018 8:16,294.508,337.74,25.444,56,90
EV030,CH007-CH008,,,7/9/2018 7:08,7/9/2018 7:12,335.268,375.54,19.256,65,92.5
EV030,CH007-CH008,,,7/9/2018 6:13,7/9/2018 6:19,296.635,357.44,29.043,55,93
EV030,CH007-CH008,,,7/8/2018 18:39,7/8/2018 18:46,248.717,360.14,26.994,53.5,93.5
EV030,CH007-CH008,,,7/8/2018 17:36,7/8/2018 17:42,302.168,356.72,20.942,72,99.5
EV030,CH007-CH008,,,7/8/2018 16:40,7/8/2018 16:51,235.041,351.16,33.305,54.5,100
EV030,CH007-CH008,,,7/8/2018 15:37,7/8/2018 15:45,231.23,349.38,26.235,62,100
EV030,CH007-CH008,,,7/8/2018 14:33,7/8/2018 14:41,205.312,369.02,27.477,60,99.5
EV030,CH007-CH008,,,7/8/2018 13:34,7/8/2018 13:41,214.46,290.74,26.338,62,100
EV030,CH007-CH008,,,7/8/2018 12:29,7/8/2018 12:35,255.196,358.74,24.037,64.5,100
EV030,CH007-CH008,,,7/8/2018 11:32,7/8/2018 11:40,200.379,373.42,27.493,61,100
EV030,CH007-CH008,,,7/8/2018 10:30,7/8/2018 10:36,221.935,355.04,22.727,66.5,100
EV030,CH007-CH008,,,7/8/2018 9:34,7/8/2018 9:40,312.095,378.96,24.488,64.5,100
EV030,CH007-CH008,,,7/8/2018 8:29,7/8/2018 8:36,325.003,374.02,32.168,54.5,96.5
EV030,CH007-CH008,,,7/7/2018 18:37,7/7/2018 18:44,217.378,370.36,25.306,63,100
EV030,CH007-CH008,,,7/7/2018 17:36,7/7/2018 17:44,337.898,363.48,29.553,57.5,100
EV030,CH007-CH008,,,7/7/2018 16:38,7/7/2018 16:45,307.967,368.22,28.237,59,99.5
EV030,CH007-CH008,,,7/7/2018 15:38,7/7/2018 15:48,321.957,367.72,33.91,54,99.5
EV030,CH007-CH008,,,7/7/2018 14:36,7/7/2018 14:42,231.931,359.74,21.333,71.5,99.5
EV030,CH007-CH008,,,7/7/2018 13:37,7/7/2018 13:46,305.115,354.24,32.39,55,98.5
EV030,CH007-CH008,,,7/7/2018 12:30,7/7/2018 12:35,299.805,372.76,21.405,71.5,100
EV030,CH007-CH008,,,7/7/2018 11:33,7/7/2018 11:42,274.021,344.24,30.785,57,100
EV030,CH007-CH008,,,7/7/2018 10:31,7/7/2018 10:37,291.758,356.72,25.117,64,100
EV030,CH007-CH008,,,7/7/2018 9:30,7/7/2018 9:35,307.426,368.3,19.946,73.5,100
